id,order_id,item_id,qty,unit_price
1,1,23,1,16
2,1,32,1,28
3,1,18,1,56
4,1,30,1,480
5,1,9,1,23
6,1,13,1,68
7,1,22,2,24
8,1,38,1,16
9,1,1,1,24
10,1,10,1,92
11,1,24,1,15
12,1,33,1,26
13,1,35,1,16
14,2,8,1,21
15,2,10,1,92
16,2,25,1,14
17,2,33,1,26
18,2,7,1,19
19,2,15,1,74
20,2,22,1,24
21,3,11,3,58
22,3,35,1,16
23,3,10,1,92
24,3,22,1,24
25,3,32,1,28
26,3,3,1,34
27,3,26,1,22
28,4,18,1,56
29,4,38,2,16
30,4,6,1,22
31,4,24,1,15
32,4,39,1,18
33,4,1,1,24
34,4,17,1,54
35,4,2,1,38
36,4,11,1,58
37,4,26,1,22
38,4,40,1,17
39,5,20,1,44
40,5,10,1,92
41,5,22,2,24
42,5,6,1,22
43,5,18,1,56
44,5,30,1,480
45,5,4,1,28
46,5,12,1,145
47,5,26,1,22
48,6,16,1,190
49,6,40,1,17
50,6,2,1,38
51,6,19,2,46
52,6,35,1,16
53,6,7,1,19
54,6,13,1,68
55,6,38,1,16
56,6,26,1,22
57,7,6,1,22
58,7,19,2,46
59,7,23,2,16
60,7,35,2,16
61,7,1,2,24
62,7,20,1,44
63,7,24,1,15
64,7,3,1,34
65,7,18,1,56
66,7,34,1,22
67,8,16,1,190
68,8,25,1,14
69,9,17,1,54
70,9,26,1,22
71,9,33,1,26
72,9,15,1,74
73,9,38,1,16
74,9,37,1,22
75,9,1,1,24
76,9,19,1,46
77,9,27,1,26
78,9,41,1,9
79,10,11,1,58
80,10,35,1,16
81,10,10,1,92
82,10,23,1,16
83,10,41,1,9
84,11,15,1,74
85,11,21,1,165
86,11,38,1,16
87,12,21,1,165
88,12,39,1,18
89,12,5,1,26
90,12,13,1,68
91,12,37,1,22
92,12,26,1,22
93,12,38,1,16
94,12,7,1,19
95,12,10,1,92
96,12,23,1,16
97,12,35,1,16
98,12,8,1,21
99,12,18,1,56
100,12,25,1,14
101,12,17,1,54
102,12,32,1,28
103,13,7,1,19
104,13,11,1,58
105,13,25,2,14
106,13,8,1,21
107,13,20,1,44
108,14,21,1,165
109,14,36,1,85
110,14,32,1,28
111,14,6,1,22
112,14,11,2,58
113,14,24,1,15
114,14,31,1,220
115,14,16,1,190
116,14,15,1,74
117,14,1,1,24
118,14,44,1,48
119,15,27,1,26
120,15,41,1,9
121,15,11,1,58
122,15,17,1,54
123,15,38,1,16
124,16,8,1,21
125,16,10,1,92
126,16,1,1,24
127,16,19,1,46
128,17,16,1,190
129,17,40,1,17
130,17,3,1,34
131,17,18,1,56
132,17,25,1,14
133,17,28,1,950
134,17,8,1,21
135,17,15,2,74
136,17,23,1,16
137,17,22,2,24
138,17,34,1,22
139,17,17,1,54
140,17,38,1,16
141,18,8,1,21
142,18,15,1,74
143,18,41,1,9
144,18,21,1,165
145,18,36,1,85
146,18,35,1,16
147,19,1,2,24
148,19,20,1,44
149,19,24,2,15
150,19,10,1,92
151,19,28,1,950
152,19,14,2,62
153,19,22,1,24
154,19,39,1,18
155,19,2,1,38
156,19,13,1,68
157,19,26,1,22
158,19,34,1,22
159,20,6,1,22
160,20,14,1,62
161,20,35,1,16
162,20,8,1,21
163,20,17,1,54
164,20,38,1,16
165,20,10,1,92
166,20,27,1,26
167,20,40,1,17
168,21,19,1,46
169,21,25,1,14
170,21,1,1,24
171,21,15,1,74
172,21,35,1,16
173,21,40,1,17
174,21,4,1,28
175,21,17,1,54
176,21,23,1,16
177,22,7,1,19
178,22,19,1,46
179,22,27,1,26
180,22,38,2,16
181,22,11,1,58
182,22,15,1,74
183,22,23,2,16
184,22,35,1,16
185,22,2,1,38
186,22,18,1,56
187,22,8,1,21
188,22,16,1,190
189,22,22,1,24
190,23,21,1,165
191,23,2,1,38
192,23,17,1,54
193,24,19,1,46
194,24,32,2,28
195,24,10,1,92
196,24,6,1,22
197,24,17,1,54
198,24,38,2,16
199,24,13,1,68
200,24,22,1,24
201,25,6,1,22
202,25,19,1,46
203,25,42,1,8
204,26,2,1,38
205,26,13,1,68
206,26,39,1,18
207,26,6,1,22
208,26,16,1,190
209,26,22,1,24
210,26,40,1,17
211,27,6,1,22
212,27,16,1,190
213,27,23,1,16
214,27,18,1,56
215,27,24,1,15
216,28,21,1,165
217,28,38,1,16
218,29,3,1,34
219,29,38,1,16
220,29,22,1,24
221,30,1,1,24
222,30,10,1,92
223,30,23,1,16
224,30,34,1,22
225,30,13,1,68
226,30,24,1,15
227,31,7,1,19
228,31,20,1,44
229,31,23,1,16
230,31,42,1,8
231,31,2,1,38
232,31,10,1,92
233,31,24,1,15
234,31,41,1,9
235,32,12,3,145
236,32,35,1,16
237,32,1,1,24
238,32,23,1,16
239,32,41,1,9
240,33,8,1,21
241,33,11,1,58
242,33,23,1,16
243,33,42,1,8
244,33,9,1,23
245,33,13,1,68
246,33,22,1,24
247,33,40,2,17
248,33,6,1,22
249,33,41,1,9
250,33,12,1,145
251,34,3,1,34
252,34,15,1,74
253,34,37,1,22
254,34,1,1,24
255,34,11,1,58
256,34,21,1,165
257,34,36,1,85
258,34,41,1,9
259,34,8,1,21
260,34,18,1,56
261,34,25,1,14
262,35,15,1,74
263,35,31,1,220
264,35,16,1,190
265,35,27,1,26
266,35,41,1,9
267,36,15,1,74
268,36,42,1,8
269,37,8,1,21
270,37,13,1,68
271,37,9,1,23
272,37,22,2,24
273,37,41,1,9
274,37,17,2,54
275,37,12,1,145
276,37,40,1,17
277,38,1,1,24
278,38,18,1,56
279,38,7,2,19
280,38,15,1,74
281,38,23,1,16
282,38,2,1,38
283,38,13,2,68
284,38,26,1,22
285,38,19,1,46
286,38,34,1,22
287,39,5,1,26
288,39,13,1,68
289,39,38,1,16
290,39,10,1,92
291,39,22,1,24
292,39,15,1,74
293,39,25,1,14
294,39,31,1,220
295,39,44,1,48
296,40,14,1,62
297,40,3,1,34
298,40,16,1,190
299,40,35,1,16
300,41,6,1,22
301,41,10,1,92
302,41,27,1,26
303,41,16,1,190
304,41,25,1,14
305,41,17,1,54
306,41,26,1,22
307,41,37,1,22
308,42,4,1,28
309,42,13,1,68
310,42,22,1,24
311,42,44,1,48
312,43,9,1,23
313,43,18,1,56
314,43,22,1,24
315,43,41,1,9
316,44,1,1,24
317,44,15,1,74
318,44,23,1,16
319,45,24,2,15
320,45,30,1,480
321,45,3,1,34
322,45,17,1,54
323,45,6,1,22
324,45,15,1,74
325,45,33,1,26
326,45,43,1,65
327,46,3,1,34
328,46,15,1,74
329,46,24,1,15
330,46,6,2,22
331,46,19,1,46
332,46,22,1,24
333,46,37,1,22
334,46,39,1,18
335,47,7,1,19
336,47,18,1,56
337,47,39,2,18
338,47,20,1,44
339,47,31,1,220
340,47,4,1,28
341,47,11,2,58
342,47,21,1,165
343,47,36,1,85
344,47,38,1,16
345,48,6,1,22
346,48,10,2,92
347,48,22,1,24
348,48,3,1,34
349,48,26,1,22
350,49,6,1,22
351,49,15,1,74
352,49,22,1,24
353,49,40,1,17
354,49,7,1,19
355,49,11,1,58
356,49,23,1,16
357,49,8,1,21
358,49,18,1,56
359,49,38,1,16
360,50,13,1,68
361,50,22,2,24
362,50,37,1,22
363,50,1,1,24
364,50,10,1,92
365,50,15,1,74
366,50,35,1,16
367,51,2,1,38
368,51,11,1,58
369,51,34,1,22
370,51,1,1,24
371,51,17,1,54
372,51,31,1,220
373,51,8,1,21
374,51,12,2,145
375,51,25,1,14
376,51,32,1,28
377,52,3,1,34
378,52,17,1,54
379,52,37,1,22
380,52,9,1,23
381,52,10,1,92
382,52,22,1,24
383,52,36,1,85
384,52,7,1,19
385,52,19,1,46
386,53,17,2,54
387,53,33,2,26
388,53,2,1,38
389,53,40,1,17
390,53,8,1,21
391,53,19,1,46
392,53,23,1,16
393,53,3,1,34
394,53,15,1,74
395,53,24,1,15
396,53,4,1,28
397,53,11,1,58
398,53,25,1,14
399,54,6,1,22
400,54,11,2,58
401,54,23,1,16
402,54,1,1,24
403,54,42,1,8
404,55,9,1,23
405,55,17,1,54
406,55,4,1,28
407,55,15,1,74
408,56,15,1,74
409,56,38,2,16
410,56,17,1,54
411,56,22,1,24
412,56,2,1,38
413,56,11,2,58
414,56,24,2,15
415,56,8,1,21
416,56,32,1,28
417,57,9,1,23
418,57,15,1,74
419,57,6,1,22
420,57,17,1,54
421,57,26,1,22
422,57,39,1,18
423,58,15,1,74
424,58,38,1,16
425,58,7,1,19
426,58,10,1,92
427,58,42,1,8
428,58,16,1,190
429,58,26,1,22
430,58,32,1,28
431,59,1,2,24
432,59,17,1,54
433,59,19,1,46
434,59,35,1,16
435,60,1,1,24
436,60,11,1,58
437,60,23,1,16
438,60,8,1,21
439,60,40,1,17
440,61,3,1,34
441,61,11,1,58
442,61,26,1,22
443,61,1,2,24
444,61,33,1,26
445,61,13,1,68
446,61,35,1,16
447,62,2,1,38
448,62,10,1,92
449,62,22,1,24
450,62,41,1,9
451,63,1,1,24
452,63,10,1,92
453,63,23,1,16
454,64,8,1,21
455,64,13,1,68
456,64,27,1,26
457,64,20,1,44
458,64,25,3,14
459,64,38,1,16
460,64,4,1,28
461,64,12,1,145
462,65,7,1,19
463,65,10,2,92
464,65,41,1,9
465,65,22,1,24
466,65,33,1,26
467,66,1,3,24
468,66,34,1,22
469,66,3,1,34
470,66,11,2,58
471,66,22,1,24
472,66,18,1,56
473,66,25,1,14
474,67,1,1,24
475,67,10,1,92
476,67,30,1,480
477,67,6,1,22
478,67,14,1,62
479,67,21,1,165
480,67,40,1,17
481,67,16,1,190
482,67,25,1,14
483,68,2,1,38
484,68,11,1,58
485,68,39,1,18
486,69,5,1,26
487,69,15,2,74
488,69,9,1,23
489,69,13,1,68
490,69,6,1,22
491,69,42,1,8
492,69,43,1,65
493,70,7,1,19
494,70,6,1,22
495,70,14,1,62
496,70,22,2,24
497,70,3,1,34
498,70,15,1,74
499,70,39,1,18
500,71,19,1,46
501,71,27,1,26
502,71,41,1,9
503,71,16,1,190
504,71,24,1,15
505,71,38,1,16
506,72,12,1,145
507,72,25,1,14
508,72,33,1,26
509,72,14,1,62
510,72,23,1,16
511,72,42,1,8
512,72,2,1,38
513,72,17,1,54
514,72,32,1,28
515,72,7,1,19
516,72,10,1,92
517,72,26,1,22
518,73,9,1,23
519,73,21,1,165
520,73,36,1,85
521,73,31,1,220
522,73,5,1,26
523,73,14,1,62
524,73,37,1,22
525,73,11,1,58
526,73,26,1,22
527,73,44,1,48
528,74,21,1,165
529,74,36,1,85
530,74,8,1,21
531,74,11,1,58
532,74,37,1,22
533,74,3,1,34
534,74,10,1,92
535,74,23,1,16
536,75,4,1,28
537,75,17,1,54
538,76,1,1,24
539,76,18,1,56
540,76,39,1,18
541,76,27,1,26
542,77,7,1,19
543,77,16,1,190
544,77,31,1,220
545,77,21,1,165
546,77,2,1,38
547,77,10,2,92
548,77,39,1,18
549,77,4,1,28
550,77,23,1,16
551,78,25,1,14
552,78,19,1,46
553,78,41,1,9
554,78,21,1,165
555,78,36,1,85
556,79,3,1,34
557,79,14,1,62
558,79,24,1,15
559,79,37,1,22
560,79,7,1,19
561,79,18,1,56
562,80,10,1,92
563,80,40,1,17
564,81,17,1,54
565,81,26,1,22
566,81,39,2,18
567,81,16,1,190
568,81,22,1,24
569,81,38,1,16
570,81,10,1,92
571,81,6,1,22
572,81,15,1,74
573,81,37,1,22
574,81,19,1,46
575,81,13,1,68
576,81,25,1,14
577,82,4,1,28
578,82,10,1,92
579,82,24,1,15
580,82,34,1,22
581,82,5,1,26
582,82,16,1,190
583,82,25,1,14
584,82,7,1,19
585,82,38,1,16
586,83,10,1,92
587,83,41,1,9
588,83,3,1,34
589,83,16,1,190
590,83,22,1,24
591,83,38,1,16
592,84,23,1,16
593,84,31,1,220
594,84,26,1,22
595,84,44,1,48
596,85,8,1,21
597,85,13,1,68
598,85,38,1,16
599,85,19,1,46
600,85,35,1,16
601,86,23,1,16
602,86,38,1,16
603,86,20,1,44
604,87,18,2,56
605,87,40,1,17
606,87,3,2,34
607,87,31,1,220
